Day,Weight,Feed,FCR
0,42,0,0
1,57,13,0.23
2,73,17,0.41
3,91,20,0.55
4,111,23,0.66
5,134,27,0.75
6,160,31,0.82
7,189,35,0.88
8,220,39,0.93
9,256,43,0.97
10,294,48,1
11,336,53,1.04
12,381,58,1.07
13,429,63,1.09
14,480,69,1.12
15,535,74,1.14
16,593,80,1.17
17,655,86,1.19
18,719,92,1.21
19,786,98,1.23
20,856,104,1.25
21,929,110,1.27
22,1004,116,1.29
23,1082,122,1.31
24,1162,128,1.33
25,1244,134,1.35
26,1328,140,1.37
27,1414,145,1.39
28,1501,151,1.41
29,1590,157,1.43
30,1680,162,1.45
31,1771,167,1.47
32,1863,172,1.49
33,1956,177,1.51
34,2050,182,1.53
35,2144,186,1.55
36,2239,191,1.57
37,2334,195,1.59
38,2429,199,1.61
39,2524,203,1.63
40,2620,207,1.65
41,2715,210,1.67
42,2809,214,1.69
43,2904,217,1.71
44,2997,220,1.73
45,3091,223,1.75
46,3184,226,1.77
47,3276,228,1.79
48,3367,230,1.81
49,3457,233,1.83
50,3547,235,1.85
51,3635,236,1.87
52,3723,238,1.89
53,3809,239,1.91
54,3894,241,1.93
55,3978,242,1.95
56,4061,243,1.97
57,4142,243,1.99
58,4222,244,2.01
59,4300,244,2.03
